"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"2",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+2"
"3",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-2"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"8",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+4"
"9",2,"Justin Jefferson",MIN,"WR6","6","5 out of 5","2 out of 5","5 out of 5 stars","+4"
"10",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-3"
"11",2,"Drake London",ATL,"WR7","11","4 out of 5","2 out of 5","3 out of 5 stars","+5"
"12",3,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+9"
"13",3,"Nico Collins",HOU,"WR9","8","4 out of 5","3 out of 5","3 out of 5 stars","+13"
"14",3,"Ashton Jeanty",LV,"RB5","13","5 out of 5","2 out of 5","2 out of 5 stars","-3"
"15",3,"James Cook III",BUF,"RB6","7","4 out of 5","2 out of 5","2 out of 5 stars","-6"
"16",3,"Chase Brown",CIN,"RB7","6","5 out of 5","2 out of 5","2 out of 5 stars","-1"
"17",3,"George Pickens",DAL,"WR10","14","4 out of 5","3 out of 5","2 out of 5 stars","+6"
"18",3,"Trey McBride",ARI,"TE1","14","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"19",3,"Brock Bowers",LV,"TE2","13","5 out of 5","2 out of 5","3 out of 5 stars","+3"
"20",3,"Rashee Rice",KC,"WR11","5","5 out of 5","4 out of 5","2 out of 5 stars","+5"
"21",3,"De'Von Achane",MIA,"RB8","6","4 out of 5","4 out of 5","3 out of 5 stars","-11"
"22",3,"Chris Olave",NO,"WR12","8","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"23",4,"DeVonta Smith",PHI,"WR13","10","4 out of 5","2 out of 5","4 out of 5 stars","+11"
"24",4,"Omarion Hampton",LAC,"RB9","7","5 out of 5","2 out of 5","3 out of 5 stars","-7"
"25",4,"Saquon Barkley",PHI,"RB10","10","4 out of 5","3 out of 5","4 out of 5 stars","-11"
"26",4,"Josh Allen",BUF,"QB1","7","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"",4
"27",4,"Zay Flowers",BAL,"WR14","13","4 out of 5","2 out of 5","4 out of 5 stars","+8"
"28",4,"Kenneth Walker III",KC,"RB11","5","4 out of 5","4 out of 5","3 out of 5 stars","-8"
"29",4,"Garrett Wilson",NYJ,"WR15","13","4 out of 5","4 out of 5","4 out of 5 stars","+10"
"30",4,"Malik Nabers",NYG,"WR16","8","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"31",4,"Lamar Jackson",BAL,"QB2","13","5 out of 5","3 out of 5","3 out of 5 stars","+11"
"32",4,"Tetairoa McMillan",CAR,"WR17","5","4 out of 5","3 out of 5","2 out of 5 stars","+8"
"33",4,"Ladd McConkey",LAC,"WR18","7","4 out of 5","3 out of 5","2 out of 5 stars","+13"
"34",4,"Tee Higgins",CIN,"WR19","6","5 out of 5","2 out of 5","4 out of 5 stars","+7"
"35",5,"Derrick Henry",BAL,"RB12","13","4 out of 5","2 out of 5","3 out of 5 stars","-17"
"36",5,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+7"
"37",5,"Emeka Egbuka",TB,"WR20","10","4 out of 5","3 out of 5","4 out of 5 stars","+1"
"38",5,"Jaylen Waddle",DEN,"WR21","10","4 out of 5","3 out of 5","2 out of 5 stars","+10"
"39",5,"Jeremiyah Love",ARI,"RB13","14","5 out of 5","2 out of 5","2 out of 5 stars","-15"
"40",5,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+12"
"41",5,"Breece Hall",NYJ,"RB14","13","4 out of 5","3 out of 5","3 out of 5 stars","-9"
"42",5,"Kyren Williams",LAR,"RB15","11","4 out of 5","2 out of 5","5 out of 5 stars","-11"
"43",5,"Josh Jacobs",GB,"RB16","11","4 out of 5","3 out of 5","4 out of 5 stars","-13"
"44",5,"Terry McLaurin",WAS,"WR22","7","4 out of 5","2 out of 5","2 out of 5 stars","+9"
"45",5,"Luther Burden III",CHI,"WR23","10","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"46",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+10"
"47",5,"Javonte Williams",DAL,"RB17","14","4 out of 5","3 out of 5","4 out of 5 stars","-14"
"48",5,"Travis Etienne Jr.",NO,"RB18","8","4 out of 5","3 out of 5","3 out of 5 stars","-11"
"49",5,"Davante Adams",LAR,"WR24","11","4 out of 5","4 out of 5","1 out of 5 stars","0"
"50",5,"Jayden Daniels",WAS,"QB5","7","5 out of 5","4 out of 5","2 out of 5 stars","+10"
"51",5,"Mike Evans",SF,"WR25","8","4 out of 5","3 out of 5","2 out of 5 stars","+11"
"52",5,"DJ Moore",BUF,"WR26","7","4 out of 5","3 out of 5","4 out of 5 stars","+6"
"53",6,"Cam Skattebo",NYG,"RB19","8","4 out of 5","3 out of 5","4 out of 5 stars","-17"
"54",6,"Tyler Warren",IND,"TE4","13","4 out of 5","2 out of 5","3 out of 5 stars","-3"
"55",6,"Jameson Williams",DET,"WR27","6","4 out of 5","4 out of 5","4 out of 5 stars","+2"
"56",6,"Christian Watson",GB,"WR28","11","4 out of 5","4 out of 5","5 out of 5 stars","+12"
"57",6,"Jalen Hurts",PHI,"QB6","10","4 out of 5","3 out of 5","5 out of 5 stars","+7"
"58",6,"Rome Odunze",CHI,"WR29","10","4 out of 5","2 out of 5","3 out of 5 stars","+3"
"59",6,"Bucky Irving",TB,"RB20","10","3 out of 5","4 out of 5","2 out of 5 stars","-15"
"60",6,"D'Andre Swift",CHI,"RB21","10","3 out of 5","3 out of 5","2 out of 5 stars","-5"
"61",6,"Quinshon Judkins",CLE,"RB22","11","4 out of 5","4 out of 5","3 out of 5 stars","-16"
"62",6,"David Montgomery",HOU,"RB23","8","4 out of 5","2 out of 5","4 out of 5 stars","-8"
"63",6,"TreVeyon Henderson",NE,"RB24","11","4 out of 5","3 out of 5","2 out of 5 stars","-13"
"64",6,"Carnell Tate",TEN,"WR30","9","4 out of 5","2 out of 5","3 out of 5 stars","+2"
"65",6,"Caleb Williams",CHI,"QB7","10","5 out of 5","2 out of 5","3 out of 5 stars","+15"
"66",6,"Bhayshul Tuten",JAC,"RB25","7","4 out of 5","3 out of 5","4 out of 5 stars","-7"
"67",6,"Justin Herbert",LAC,"QB8","7","4 out of 5","2 out of 5","2 out of 5 stars","+21"
"68",6,"Marvin Harrison Jr.",ARI,"WR31","14","3 out of 5","4 out of 5","2 out of 5 stars","+1"
"69",6,"Harold Fannin Jr.",CLE,"TE5","11","4 out of 5","3 out of 5","3 out of 5 stars","-4"
"70",6,"Tucker Kraft",GB,"TE6","11","4 out of 5","2 out of 5","2 out of 5 stars","+2"
"71",7,"Jaylen Warren",PIT,"RB26","9","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"72",7,"Jadarian Price",SEA,"RB27","11","4 out of 5","3 out of 5","4 out of 5 stars","-9"
"73",7,"Parker Washington",JAC,"WR32","7","4 out of 5","3 out of 5","4 out of 5 stars","+10"
"74",7,"DK Metcalf",PIT,"WR33","9","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"75",7,"Brian Thomas Jr.",JAC,"WR34","7","3 out of 5","4 out of 5","4 out of 5 stars","0"
"76",7,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","1 out of 5","4 out of 5 stars","+13"
"77",7,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","0"
"78",7,"Kyle Pitts Sr.",ATL,"TE7","11","4 out of 5","4 out of 5","3 out of 5 stars","-11"
"79",7,"Chris Godwin Jr.",TB,"WR35","10","3 out of 5","4 out of 5","4 out of 5 stars","+17"
"80",7,"Rhamondre Stevenson",NE,"RB28","11","4 out of 5","3 out of 5","2 out of 5 stars","+2"
"81",7,"Michael Pittman Jr.",PIT,"WR36","9","3 out of 5","3 out of 5","3 out of 5 stars","+13"
"82",7,"Alec Pierce",IND,"WR37","13","4 out of 5","4 out of 5","4 out of 5 stars","-3"
"83",7,"Tony Pollard",TEN,"RB29","9","3 out of 5","3 out of 5","3 out of 5 stars","-10"
"84",7,"Courtland Sutton",DEN,"WR38","10","2 out of 5","4 out of 5","2 out of 5 stars","-10"
